GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
1620000US4100275,4100275,"Adair Village city, Oregon",840,840,838,843,842,834,834,835,848,863,870
1620000US4100350,4100350,"Adams city, Oregon",350,350,351,355,356,354,354,351,353,353,355
1620000US4100500,4100500,"Adrian city, Oregon",177,177,177,174,173,174,172,171,171,174,175
1620000US4101000,4101000,"Albany city, Oregon",50158,50142,50327,50943,51017,50941,51352,51657,52689,53481,54453
1620000US4102000,4102000,"Amity city, Oregon",1614,1614,1616,1619,1622,1610,1630,1631,1661,1688,1716
1620000US4102250,4102250,"Antelope city, Oregon",46,46,46,46,46,46,46,46,48,48,48
1620000US4102800,4102800,"Arlington city, Oregon",586,586,589,611,611,613,606,585,581,584,593
1620000US4103050,4103050,"Ashland city, Oregon",20078,20078,20083,20283,20373,20360,20591,20696,20913,21092,21263
1620000US4103150,4103150,"Astoria city, Oregon",9477,9477,9484,9515,9583,9425,9536,9572,9794,9824,9976
1620000US4103200,4103200,"Athena city, Oregon",1126,1132,1134,1144,1146,1143,1137,1131,1133,1139,1142
1620000US4103250,4103250,"Aumsville city, Oregon",3584,3590,3604,3685,3710,3828,3934,4001,4064,4112,4165
1620000US4103300,4103300,"Aurora city, Oregon",918,916,925,937,939,942,955,975,1006,1023,1042
1620000US4103650,4103650,"Baker City city, Oregon",9828,9828,9814,9783,9748,9764,9771,9684,9729,9803,9757
1620000US4103800,4103800,"Bandon city, Oregon",3066,3061,3059,3059,3059,3019,3021,3047,3085,3102,3130
1620000US4103850,4103850,"Banks city, Oregon",1777,1801,1808,1839,1863,1881,1906,1947,1987,2009,2026
1620000US4104000,4104000,"Barlow city, Oregon",135,135,135,136,136,136,140,141,142,145,145
1620000US4104800,4104800,"Bay City city, Oregon",1286,1286,1286,1294,1294,1300,1306,1327,1355,1381,1391
1620000US4105350,4105350,"Beaverton city, Oregon",89803,89732,90108,91573,92574,93306,94751,95897,97720,97790,98962
1620000US4105800,4105800,"Bend city, Oregon",76639,76651,76652,77552,78592,80879,83493,86238,90611,94525,97590
1620000US4107200,4107200,"Boardman city, Oregon",3220,3239,3249,3254,3340,3331,3304,3324,3354,3354,3405
1620000US4107300,4107300,"Bonanza town, Oregon",415,415,414,415,410,409,407,409,413,415,421
1620000US4108650,4108650,"Brookings city, Oregon",6336,6359,6349,6378,6309,6301,6313,6359,6428,6438,6465
1620000US4109050,4109050,"Brownsville city, Oregon",1668,1668,1672,1683,1684,1692,1706,1731,1762,1784,1801
1620000US4109800,4109800,"Burns city, Oregon",2806,2809,2801,2795,2762,2733,2721,2718,2755,2768,2783
1620000US4110050,4110050,"Butte Falls town, Oregon",423,423,423,426,427,430,433,436,441,444,450
1620000US4110750,4110750,"Canby city, Oregon",15829,16686,16702,16763,16812,16905,17116,17333,17563,17763,17817
1620000US4110850,4110850,"Cannon Beach city, Oregon",1690,1690,1693,1689,1692,1679,1682,1692,1715,1728,1749
1620000US4110950,4110950,"Canyon City town, Oregon",703,703,705,692,683,677,671,672,668,667,668
1620000US4111000,4111000,"Canyonville city, Oregon",1884,1896,1896,1903,1905,1898,1898,1904,2035,1934,1949
1620000US4111150,4111150,"Carlton city, Oregon",2007,2006,2007,2019,2025,2030,2051,2063,2118,2146,2183
1620000US4111600,4111600,"Cascade Locks city, Oregon",1144,1141,1147,1143,1147,1147,1151,1144,1152,1172,1169
1620000US4111850,4111850,"Cave Junction city, Oregon",1883,1849,1853,1849,1855,1860,1867,1895,1914,1937,1954
1620000US4112400,4112400,"Central Point city, Oregon",17169,17259,17265,17349,17413,17526,17663,17863,18202,18387,18581
1620000US4113050,4113050,"Chiloquin city, Oregon",734,734,734,732,725,722,718,723,728,736,746
1620000US4113750,4113750,"Clatskanie city, Oregon",1737,1747,1746,1748,1743,1739,1753,1749,1786,1817,1832
1620000US4114400,4114400,"Coburg city, Oregon",1035,1028,1028,1036,1034,1032,1029,1042,1063,1106,1141
1620000US4114750,4114750,"Columbia City city, Oregon",1946,1950,1948,1945,1937,1948,1950,1948,1987,2032,2037
1620000US4115000,4115000,"Condon city, Oregon",682,682,685,711,710,705,702,681,680,683,694
1620000US4115250,4115250,"Coos Bay city, Oregon",15967,15988,15979,15941,16029,16008,15977,16009,16191,16281,16415
1620000US4115350,4115350,"Coquille city, Oregon",3866,3864,3862,3844,3826,3787,3788,3803,3870,3891,3925
1620000US4115550,4115550,"Cornelius city, Oregon",11869,11895,11930,12095,12193,12233,12440,12500,12589,12567,12724
1620000US4115800,4115800,"Corvallis city, Oregon",54462,54494,54400,54727,55138,54711,55522,56341,57220,58413,58641
1620000US4115950,4115950,"Cottage Grove city, Oregon",9686,9678,9687,9756,9771,9768,9823,9892,10057,10186,10351
1620000US4116250,4116250,"Cove city, Oregon",552,618,617,620,620,616,619,623,632,638,643
1620000US4116950,4116950,"Creswell city, Oregon",5031,5037,5043,5068,5055,5080,5116,5189,5271,5375,5489
1620000US4117300,4117300,"Culver city, Oregon",1357,1357,1355,1356,1363,1368,1387,1421,1457,1504,1580
1620000US4117700,4117700,"Dallas city, Oregon",14583,14582,14618,14672,14743,14788,15027,15207,15837,16321,16701
1620000US4118250,4118250,"Dayton city, Oregon",2534,2534,2535,2539,2538,2533,2549,2563,2626,2705,2749
1620000US4118300,4118300,"Dayville town, Oregon",149,149,149,148,146,145,145,145,143,144,144
